date_time,atmospheric_pressure_(mBar),rainfall_(mm),wind_speed_(m_per_s),wind_direction_(degrees),surface_temperature_(C),relative_humidity_(%),solar_flux_(Kw/m2),battery_(V)
2015/11/01 00:01,1025,0,0,0,9.74,91.5,0,13.76
2015/11/01 00:02,1025,0,0,0,9.75,91.2,0,13.76
2015/11/01 00:03,1025,0,0,0,9.75,91.3,0,13.77
2015/11/01 00:04,1025,0,0,0,9.77,91.2,0,13.76
2015/11/01 00:05,1025,0,0,0,9.83,91.2,0,13.77
2015/11/01 00:06,1024,0,0,0,9.84,91.1,0,13.76
2015/11/01 00:07,1024,0,0,0,9.87,91.0,0,13.76
2015/11/01 00:08,1024,0,0,0,9.9,90.8,0,13.77
2015/11/01 00:09,1024,0,0,0,9.86,90.7,0,13.77
2015/11/01 00:10,1024,0,0,0,9.81,90.5,0,13.77
2015/11/01 00:11,1024,0,0,0,9.82,90.5,0,13.77
2015/11/01 00:12,1024,0,0,0,9.82,90.6,0,13.77
2015/11/01 00:13,1024,0,0,0,9.82,90.6,0,13.77
2015/11/01 00:14,1024,0,0,0,9.82,90.5,0,13.77
2015/11/01 00:15,1024,0,0,0,9.82,90.6,0,13.77
2015/11/01 00:16,1024,0,0,0,9.82,90.5,0,13.77
2015/11/01 00:17,1024,0,0,0,9.82,90.5,0,13.77
2015/11/01 00:18,1024,0,0,0,9.84,90.7,0,13.76
2015/11/01 00:19,1024,0,0,0,9.89,90.7,0,13.77
2015/11/01 00:20,1024,0,0,0,9.9,90.9,0,13.76
2015/11/01 00:21,1024,0,0,0,9.93,90.8,0,13.77
2015/11/01 00:22,1024,0,0,0,9.95,90.8,0,13.77
2015/11/01 00:23,1024,0,0,0,9.98,90.6,0,13.77
2015/11/01 00:24,1024,0,0,0,9.92,90.5,0,13.77
2015/11/01 00:25,1024,0,0,0,9.89,90.4,0,13.77
2015/11/01 00:26,1024,0,0,0,9.93,90.6,0,13.76
2015/11/01 00:27,1024,0,0,0,9.97,90.6,0,13.77
